timestamp,rank,name,price,change_24h,market_cap
9/4/2026 15:45,1,Bitcoin,"$80,908.33 ",4.24%,$1.62T
9/4/2026 15:45,2,Ethereum,"$2,520.89 ",5.32%,$307.99B
9/4/2026 15:45,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:45,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:45,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:45,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:45,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:45,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:45,9,Hyperliquid,$87.04 ,6.48%,$21.89B
9/4/2026 15:45,10,Zcash,"$1,000.06 ",20.53%,$16.85B
9/4/2026 15:45,1,Bitcoin,"$80,908.33 ",4.24%,$1.62T
9/4/2026 15:45,2,Ethereum,"$2,520.89 ",5.32%,$307.99B
9/4/2026 15:45,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:45,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:45,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:45,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:45,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:45,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:45,9,Hyperliquid,$87.04 ,6.48%,$21.89B
9/4/2026 15:45,10,Zcash,"$1,000.06 ",20.53%,$16.85B
9/4/2026 15:46,1,Bitcoin,"$80,950.81 ",4.31%,$1.62T
9/4/2026 15:46,2,Ethereum,"$2,518.26 ",5.22%,$307.99B
9/4/2026 15:46,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:46,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:46,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:46,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:46,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:46,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:46,9,Hyperliquid,$86.59 ,5.98%,$21.78B
9/4/2026 15:46,10,Zcash,$998.09 ,20.22%,$16.82B
9/4/2026 15:46,1,Bitcoin,"$80,950.81 ",4.31%,$1.62T
9/4/2026 15:46,2,Ethereum,"$2,518.26 ",5.22%,$307.99B
9/4/2026 15:46,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:46,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:46,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:46,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:46,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:46,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:46,9,Hyperliquid,$86.59 ,5.97%,$21.78B
9/4/2026 15:46,10,Zcash,$997.98 ,20.21%,$16.81B
9/4/2026 15:47,1,Bitcoin,"$80,912.26 ",4.24%,$1.62T
9/4/2026 15:47,2,Ethereum,"$2,518.31 ",5.23%,$307.99B
9/4/2026 15:47,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:47,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:47,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:47,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:47,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:47,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:47,9,Hyperliquid,$86.56 ,5.95%,$21.77B
9/4/2026 15:47,10,Zcash,$996.30 ,20.03%,$16.79B
9/4/2026 15:47,1,Bitcoin,"$80,950.81 ",4.31%,$1.62T
9/4/2026 15:47,2,Ethereum,"$2,518.26 ",5.22%,$307.99B
9/4/2026 15:47,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:47,4,BNB,$718.74 ,2.51%,$95.7B
9/4/2026 15:47,5,XRP,$1.45 ,6.63%,$91.12B
9/4/2026 15:47,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:47,7,Solana,$104.06 ,3.91%,$60.91B
9/4/2026 15:47,8,TRON,$0.33 ,0.26%,$31.12B
9/4/2026 15:47,9,Hyperliquid,$87.04 ,6.48%,$21.89B
9/4/2026 15:47,10,Zcash,"$1,000.06 ",20.53%,$16.85B
9/4/2026 15:48,1,Bitcoin,"$80,912.26 ",4.24%,$1.62T
9/4/2026 15:48,2,Ethereum,"$2,518.31 ",5.23%,$307.99B
